Labs,Description,Professors
Computational Social Science Institute,"The UMass Computational Social Science Institute is a cross-disciplinary, collaborative group designed to address the challenges and opportunities presented by collecting, storing, and analyzing large-scale data related to the social world. With core faculty coming from disciplines as diverse as computer science, political science, sociology, and statistics, the group brings together the expertise necessary to create practical solutions to modern problems in quantitative social science.","James Allan, W. Bruce Croft, Deepak Ganesan, Phillipa Gill, Przemek Grabowicz, David Jensen, James Kurose, Ben Marlin, Andrew McCallum, Brendan O'Connor, Dan Sheldon, Hanna Wallach, Mark Wilson"
Cybersecurity Institute,"The Cybersecurity Institute is the intellectual focal point for multi-disciplinary cybersecurity education and research at UMass Amherst. The institute brings together dozens of internationally recognized faculty from across five UMass Amherst schools and colleges to address the critical, cross-industry need for innovative security research and well-trained cybersecurity professionals in the region. Working with partners in government, industry, and academia, the institute seeks to advance scientific and societal understanding of pressing issues related to the field.","Emery Berger, Yuriy Brun, Lori Clarke, Phillipa Gill, Amir Houmansadr, David Jensen, Brian Levine, Marc Liberatore, Gerome Miklau, Donald Towsley"
Center for Data Science,"The Center for Data Science develops and applies methods to collect, curate, and analyze large-scale data, and to make discoveries and decisions using those analyses.  To accomplish these goals, the Center addresses deep and varied research challenges, including how to design accurate wearable sensors, interpret images and human languages, align information from thousands of databases, and discern cause and effect.","James Allan, Emery Berger, Yuriy Brun, Bruno Castro da Silva, Lori Clarke, W. Bruce Croft, Yanlei Diao, Justin Domke, Ina Fiterau Brostean, Deepak Ganesan, Przemek Grabowicz, Peter Haas, Mohammad Hajiesmaili, Mohit Iyyer, David Jensen, Vangelis Kalogerakis, Andrew Lan, Erik Learned-Miller, Narges Mahyar, Subhransu Maji, Ben Marlin, Arya Mazumdar, Andrew McCallum, Andrew McGregor, Alexandra Meliou, Gerome Miklau, J. Eliot Moss, Cameron Musco, Brendan O'Connor, Adam O'Neill, Tauhidur Rahman, Marco Serafini, Dan Sheldon, Prashant Shenoy, Hava Siegelmann, Ramesh Sitaraman, Philip Thomas, Laure Thompson, Donald Towsley, Arun Venkataramani, Rui Wang, Beverly Woolf, Yair Zick, Shlomo Zilberstein"
Center for Intelligent Information Retrieval,"The Center for Intelligent Information Retrieval (CIIR) is one of the leading research groups working in the areas of information retrieval and information extraction. The CIIR studies and develops tools that provide effective and efficient access to large networks of heterogeneous, multimedia information.","James Allan, W. Bruce Croft, Mohit Iyyer, Ben Marlin, Andrew McCallum, Brendan O'Connor, Razieh Rahimi, Hanna Wallach, Hong Yu, Hamed Zamani"
Center for Knowledge Communication,"The Center for Knowledge Communication (CKC) investigates knowledge-based educational systems, integrating theoretical principles into research systems for empirical evaluation and theoretical analysis.",Beverly Woolf
Center for Smart and Connected Society,"The Center for Smart and Connected Society (CS2) is an interdisciplinary center that focuses on enabling communities to improve services, adopt sustainable practices, promote economic growth, and enhance the overall quality of life while cutting across domains.","Deepak Ganesan, Mohammad Hajiesmaili, Ben Marlin, Tauhidur Rahman, Prashant Shenoy, Jie Xiong, Shlomo Zilberstein"
Advanced Classical and Quantum Information Research Lab,"Founded by Professor Don Towsley in 2022, ACQuIRe focusses on researching advanced topics in classical and quantum information systems and networks, and secure communications. Located at the Manning College of Information and Computer Science, ACQuIRe is also part of the multi-institutional NSF funded Center for Quantum Networks.",Donald Towsley
Advanced Human & Health Analytics (AHHA) Laboratory,"The AHHA laboratory aims to understand human movements and the associated health conditions using wearable and ambient sensors. With a primary focus on evolution, the AHHA lab is particularly interested in 1) designing and implementing novel sensors and remote monitoring systems that are motivated by practical medical needs, 2) constructing appropriate clinical trials, and 3) implementing computational models to analyze the obtained data and extract clinically relevant information.",Ivan Lee
Advanced Learning Technologies Laboratory,The ALTLab addresses a number of issues including: Personalized Learning; Affect and Motivation; Metacognition; Active Physical Learning; Educational Games; Open-Tutor Platforms; Intelligent Pedagogical Agents; and Learning Technologies for the Developing World.,"Ivon Arroyo, Neena Thota"
Advanced Networked Systems Research Group,"This group conducts research in all aspects of networked systems including Internet protocols, peer-to-peer systems, wireless and mobile networks, large-scale distributed systems, and network security.",Arun Venkataramani
Architecture and Language Implementation,"The Architecture and Language Implementation group has the goal of improving the performance of computer systems through the synergistic enhancement of the compiler, run-time environment, and architecture. Efforts include a wide range of optimizations for improving memory subsystem performance, Java virtual machines, garbage collection algorithms, microarchitectural support for advanced compiler and run-time optimizations, and parallel architecture (including optimizations for GPUs).","J. Eliot Moss, Charles Weems"
Autonomous Learning Laboratory,"The Autonomous Learning Laboratory (ALL), formerly the Adaptive NetWorks (ANW) Laboratory, focuses on both machine and biological learning. Areas of study include reinforcement learning, safe machine learning, and biologically inspired machine learning.","Bruno Castro da Silva, Philip Thomas"
Autonomous Mobile Robotics Laboratory (AMRL),"The Autonomous Mobile Robotics Laboratory (AMRL) does research in robotics to continually make robots more autonomous, accurate, robust, and efficient, in real-world unstructured environments. We are working on a wide range of problems, including perception for long-term autonomy, high-speed multi-agent planning in adversarial domains, time-optimal control for omnidirectional robots, and autonomous multi-sensor calibration in the wild.",Joydeep Biswas
Biologically Inspired Neural & Dynamical Systems Laboratory,"The Biologically Inspired Neural & Dynamical Systems Laboratory aims to apply techniques developed in computer science to problems in biology and to turn insights gained from biological systems to construct better computational algorithms. A specific goal is to employ computational techniques from machine learning, such as clustering and Bayesian network modeling, to solve problems in functional genomics. Another goal of the lab is to build mathematical models of neural circuitries in the brain.",Hava Siegelmann
Biomedical Informatics Natural Language Processing (BioNLP) Laboratory,"The BioNLP lab conducts research on information retrieval, machine learning, and natural language processing, with a focus on biomedical applications. Our goal is to extract information from the vast amount of unstructured data in the biomedical domain, such as electronic health record (EHR) notes and scientific articles. We have developed and built systems for biomedical question answering, adverse drug event detection, biomedical figure search, EHR note comprehension, and healthcare outcome predictions, among others.",Hong Yu
Computer Graphics Laboratory,"The Computer Graphics (GFX) Laboratory focuses on modeling of the real world, and simulation of physically based illumination phenomena. Research topics include global illumination algorithms, real-time rendering, graphics hardware based rendering, and geometric acquisition of the real-world.","Vangelis Kalogerakis, Rui Wang"
Computer Vision Research Laboratory,The Computer Vision Research Laboratory was established with the goal of investigating the scientific principles underlying the construction of integrated vision systems and the application of vision to problems of real-world importance.,"Vangelis Kalogerakis, Erik Learned-Miller, Subhransu Maji, Grant Van Horn, Rui Wang"
Convergent Computing Systems Lab,"CCSL research is aimed at supporting the creation and use of systems that incorporate components from different sources (e.g., written in different languages or imported from different Internet sites) into a synergistic whole. Current projects include JavaSPIN, a persistence extension for Java, and PolySPIN, an approach to automating seamless interoperability among Java, C++ and CLOS software modules.",Jack Wileden
